Rank,Genre
1495,cryptic black metal
1496,deep german jazz
1497,modern free jazz
1498,deep orgcore
1499,song poem
1500,neo-traditional country
1501,vintage gospel
1502,vintage country folk
1503,cinematic dubstep
1504,gothic doom
1505,dark electro-industrial
1506,deep symphonic black metal
1507,chip hop
1508,caucasian folk
1509,deep delta blues
1510,vintage reggae
1511,deep breakcore
1512,necrogrind
1513,drone psych
1514,twee indie pop
1515,deep latin jazz
1516,vintage swoon
1517,rock noise
1518,central asian folk
1519,smooth urban r&b
1520,vintage western
1521,deep string quartet
1522,deep deep tech house
,
